# File S1. Bacterial ASV abundance table and taxonomic annotation for 28 coral colonies at baseline/control conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ICN_G01,ICN_G02,ICN_G03,ICN_G04,ICN_G05,ICN_G06,ICN_G07,AF_G01,AF_G02,AF_G03,AF_G04,AF_G05,AF_G06,AF_G07,ExT_G01,PrT_G01,ExT_G02,PrT_G02,ExT_G03,PrT_G03,ExT_G04,PrT_G04,ExT_G05,PrT_G05,ExT_G06,PrT_G06,ExT_G07,PrT_G07,Phylum,Class,Order,Family,Genus,Species
ASV0801,0,0,0,0,0,0,0,28,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,NA
ASV0803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhizobacter,NA
ASV0805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Oleiagrimonas,NA
ASV0807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rugamonas,NA
ASV0808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epsilonbacteraeota,Campylobacteria,Campylobacterales,NA,NA,NA
ASV0809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella,NA
ASV0810,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,NA,NA,NA,NA
ASV0811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV0812,0,0,0,0,0,0,0,0,0,0,0,137,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA
ASV0813,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
ASV0814,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,NA
ASV0815,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,NA,NA
ASV0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,38,0,0,0,0,0,0,6,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA
ASV0817,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kosakonia,NA
ASV0818,22,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas,NA
ASV0819,0,5,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,NA
ASV0820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,NA,NA
ASV0821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,NA
ASV0823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,NRL2,NA,NA,NA
ASV0824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Oceanospirillum,NA
ASV0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV0826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,NA,NA,NA
ASV0829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,NA
ASV0830,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
ASV0831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,34,0,0,0,0,0,0,34,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Stappia,NA
ASV0832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
ASV0833,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,NA
ASV0834,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,NA
ASV0836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV0837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,NA
ASV0838,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,NA
ASV0839,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,NA
ASV0840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,JTB255_marine_benthic_group,NA
ASV0841,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,NA
ASV0843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Chitinophagales,NA,NA,NA
ASV0845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,NA
ASV0846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,NA
ASV0847,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Kiloniella,NA
ASV0848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,NRL2,NA,NA,NA
ASV0849,0,0,0,0,0,0,0,11,0,0,33,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
ASV0850,0,0,0,0,0,0,0,14,0,0,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,XY-R5,NA
ASV0851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,NA
ASV0852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,NA,NA
ASV0854,0,0,0,0,0,0,0,0,31,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,22,0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
ASV0855,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureivirga,NA
ASV0856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,NA,NA
ASV0858,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,SEEP-SRB4,NA
ASV0859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA,NA
ASV0860,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
ASV0862,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
ASV0863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,31,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia,NA
ASV0864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV0865,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,NA
ASV0866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7_clade,NA
ASV0867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV0868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,NA
ASV0871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
ASV0872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV0873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,NA,NA
ASV0874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinibacter,NA
ASV0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,NA
ASV0876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Agarivorans,NA
ASV0877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,NA
ASV0878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pelomonas,NA
ASV0880,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,NA
ASV0881,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,NA
ASV0882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,NA
ASV0883,67,46,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0884,16,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,NA,NA
ASV0885,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,NA
ASV0886,0,41,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanibulbus,NA
ASV0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,26,0,0,0,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,NA
ASV0888,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,Firmicutes,Bacilli,Bacillales,Family_XI,Gemella,NA
ASV0889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,36,0,0,0,0,8,45,0,Proteobacteria,Alphaproteobacteria,Micavibrionales,NA,NA,NA
ASV0890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,SH-PL14,NA
ASV0891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Flavobacteriales,NA,NA,NA
ASV0892,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,NA
ASV0893,0,0,0,4,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudoruegeria,NA
ASV0894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Vallitalea,NA
ASV0895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,NA
ASV0896,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfofustis,NA
ASV0897,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4_lineage,NA
ASV0898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,NA,NA
ASV0899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,intestinihominis
ASV0900,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA
ASV0901,9,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV0903,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,NA,NA
ASV0905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
ASV0908,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,NA
ASV0909,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
ASV0910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,NA,NA
ASV0911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,16,0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
ASV0913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA
ASV0914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,NA
ASV0915,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA,NA
ASV0916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Cytophagales,Flammeovirgaceae,Flammeovirga,NA
ASV0917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gemmatimonadetes,BD2-11_terrestrial_group,NA,NA,NA,NA
ASV0918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,6,0,0,0,0,Proteobacteria,Alphaproteobacteria,Micavibrionales,NA,NA,NA
ASV0920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lentisphaerae,Oligosphaeria,P.palmC41,NA,NA,NA
ASV0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAUC34f,NA,NA,NA,NA,NA
ASV0922,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,NA,NA,NA,NA
ASV0923,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA
ASV0924,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,NA
ASV0926,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,NA
ASV0927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
ASV0929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
ASV0931,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,NA
ASV0933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA
ASV0934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV0935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA
ASV0936,0,8,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
ASV0937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,NA
ASV0938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Oceanospirillales,NA,NA,NA
ASV0939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Paramoritella,NA
ASV0940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus,NA
ASV0941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_2,NA
ASV0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA,NA
ASV0944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pigmentiphaga,NA
ASV0945,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dependentiae,Babeliae,Babeliales,UBA12409,NA,NA
ASV0946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicibacter,NA
ASV0948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
ASV0949,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
ASV0950,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Persicobacter,NA
ASV0951,0,0,0,54,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloceanibacter,NA
ASV0952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,NA
ASV0953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA,NA
ASV0954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,NA,NA
